Date,Timestamp,Open,High,Low,Close,Volume
20160104,00:00:00,1.47336,1.47433,1.47325,1.47349,862.890002086759
20160104,01:00:00,1.4734,1.47379,1.47262,1.47352,2732.79001283646
20160104,02:00:00,1.47352,1.47402,1.47238,1.47273,3121.50000798702
20160104,03:00:00,1.47272,1.47293,1.46926,1.4717,5207.45001852512
20160104,04:00:00,1.47171,1.47223,1.47038,1.47176,3700.35000109673
20160104,05:00:00,1.47178,1.47227,1.47154,1.4717,1812.05000376701
20160104,06:00:00,1.47171,1.47354,1.47171,1.47351,2861.83001816273
20160104,07:00:00,1.47353,1.47455,1.47308,1.47361,3529.52002394199
20160104,08:00:00,1.47361,1.47408,1.47345,1.47382,3486.79000580311
20160104,09:00:00,1.47382,1.4762,1.47206,1.47592,8982.7199909687
20160104,10:00:00,1.47592,1.47722,1.47358,1.47697,11823.5999748707
20160104,11:00:00,1.47696,1.4784,1.47536,1.47831,8611.78000295162
20160104,12:00:00,1.47832,1.4816,1.4777,1.47891,8599.54000735283
20160104,13:00:00,1.47891,1.479,1.47641,1.47683,7711.27000701427
20160104,14:00:00,1.47681,1.47859,1.47549,1.47597,7944.92999720573
20160104,15:00:00,1.47599,1.47662,1.4734,1.47362,8678.0599861145
20160104,16:00:00,1.47361,1.47439,1.47146,1.47159,8769.93998765945
20160104,17:00:00,1.4719,1.47303,1.46867,1.46884,11092.4999828339
20160104,18:00:00,1.46887,1.46895,1.4663,1.4684,9116.41998970509
20160104,19:00:00,1.4684,1.47003,1.46805,1.46967,5616.80999612808
20160104,20:00:00,1.46969,1.47112,1.46944,1.47062,4600.89998209476
20160104,21:00:00,1.47062,1.47146,1.47036,1.47112,3989.59001553059
20160104,22:00:00,1.47112,1.47234,1.47105,1.47226,4230.94000244141
20160104,23:00:00,1.47226,1.4727,1.47119,1.47121,2953.65000036359
20160105,00:00:00,1.47119,1.47208,1.47108,1.47157,2254.28000149131
20160105,01:00:00,1.47157,1.47157,1.4706,1.47115,2006.05000376701
20160105,02:00:00,1.47121,1.47174,1.47054,1.47171,2158.48000538349
20160105,03:00:00,1.47172,1.47238,1.47149,1.47234,3201.26001524925
